text,Food,Phenotype,label
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",Lactobacillus reuteri THT 030802,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",Lactobacillus salivarius THT 031001,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",Lactobacillus salivarius THT 031001,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Streptococcus thermophilus</em> THT 070102,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Streptococcus thermophilus</em> THT 070102,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"- ALA supports the decrease of the blood sugar, might regulate the insulin resistance;
- ALA has proven to be very effective in protection from glycation;
- ALA might help to regulate the damage done by final products of the glycation proteins (AGE).",Alpha Lipoic acid (ALA),Maintenance of normal blood glucose concentrations,2
"- Combined with resistance exercise, whey protein supports an increase in muscular strength.
- Whey protein improves exercise performance.",Whey Protein,increase in muscle strength,1
"- Contributes to the mobilisation of fat stores;
- Contributes ton the stimulation of fat release;
- Helps to increase fat burning;
- Contributes to the oxidation of stored fats;
- Helps generate a negative energy balance;
- Contributes to increased calorie burning.",Caffeine,increased fat oxidation leading to a reduction in body fat mass,1
"- Exact wording of claim as it appears on product: Ipriflavone supresses bone resorption;
- Examples of any alternative wording that may be used in relation to claim: Increases bone density/ prevents decreased bone mineral density/ prevents rapid bone loss/ total bone health/ Maintain healthy bones/ Maintain bone integrity/ Reduce bone loss/ Maintain adequate bone density/ support bone health/ contributes to bone health/ contributes to bone strength/ Beneficial effects on bone health/ increased bone mineral density/ Increased bone strength/ Helps reduce risk of bone loss
- Is claim a picture: No","Name of Food product: Ipriflavone

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No",maintenance of bone mineral density,1
- Helps keep arteries/blood vessels healthy; - Contributes to healthy arteries/ blood vessels; - Supports heart health by contributing to the normal functioning of the arteries/blood vessels; -  Helps maintain a normal blood pressure by supporting the elasticity of blood vessels/arteries;,Folic acid (syn.: Vitamin B9),function of blood vessels,0
"- Helps to delay the onset of fatigue;
- helps to maintain energy levels for prolonged periods during intense competition / exercise;
- enhances endurance and helps to maintain peak effort during times of high physical demand.",Taurine,delay in the onset of fatigue and enhancement of physical performance,1
- Maintains/restores the balance of intestinal flora. - Promotes intestinal comfort. - Strengthens resistance of organism - Improves digestive health,<em>Lactobacillus plantarum</em> BFE 1685,Decreasing potentially pathogenic intestinal microorganisms,1
"- Protects organism against effects of the free radicals in excess during oxidative stress.
- Protects against cellular ageing induced by free radicals",Melon extract (containing SOD) /Wheat Gliadin,"protection of DNA, proteins and lipids from oxidative damage",2
"- Supports the protection of the body’s cells;
- Supports the protection from free radicals;
- Supports the protection of cells and tissues from oxidation.",Taurine,"protection of DNA, proteins and lipids from oxidative damage",2
"- Wheat dextrin has low glycemic and insulinemic indices and it is suitable for use by diabetics.
- Eating a diet high in fiber can help control postprandial glucose levels and serum lipid profiles.
- Dietary fiber helps improve glycemic control to improve your ability to maintain normal blood sugar and insulin levels, essential for good health",Wheat Dextrin,reduction of post-prandial glycaemic responses,0
"- Whey protein essential amino acids aid muscle maintenance in the elderly and at risk persons.
- Whey protein essential amino acids reduce lean tissue loss in the elderly and at risk persons.",Whey Protein,growth or maintenance of muscle mass,0
- contributes to the  rebalancing of intestinal microflora;- rebalances the intestinal motility function;- supports the maintenance of intestinal homeostasis;- promotes the wellbeing of the intestine;- contributes to reducing gastro-intestinal discomfort;,<em>Bifidobacterium longum</em> W11(LMG P-21586),Bifidobacterium longum W11 related to the following claimed effect: 'relief of abdominal discomfort and bloating',0
- contributes to the  rebalancing of intestinal microflora;- rebalances the intestinal motility function;- supports the maintenance of intestinal homeostasis;- promotes the wellbeing of the intestine;- contributes to reducing gastro-intestinal discomfort;,<em>Lactobacillus casei</em> LC 01(CNCM I-1572),Lactobacillus casei DG CNCM I-1572 and decreasing potentially pathogenic gastro-intestinal microorganisms,0
- contributes to the  rebalancing of intestinal microflora;- supports the maintenance of intestinal homeostasis;- promotes the wellbeing of the intestine;- contributes to reducing gastro-intestinal discomfort;- improves the metabolic activity of intestinal microflora.,<em>Lactobacillus paracasei </em> LPC 01(CNCM I-1390),"L. paracasei LPC 01 (CNCM I-1390) and 'relieve symptoms typically associated with Irritable Bowel Syndrome (IBS), especially diarrhoea-predominant IBS, and to help reduce the daily number of bowel movements as well as improve the consistency of faeces in adult subjects reporting acute diarrhoea'",0
- good for your blood pressure - supports a healthy blood pressure - helps maintain a healthy blood pressure - helps maintain a normal blood pressure,special hydrolysed milk proteins,maintenance of normal blood pressure,0
- helps inhibit the formation of plaque; - helps put a stop to plaque formation; - works against the formation of plaque and tartar; - helps defend against the formation of plaque - helps to keep teeth and gums in normal healthy conditions by limiting/checking/impeding/curbing the accumulation of plaque,Sugar-free chewing gum,Reduction of dental plaque,0
"- helps to manage body weight, - helps to reduce body fat particularly in overweight persons, - helps to limit body fat accumulation, - helps to increase energy expenditure.",Medium Chain Triglycerides (MCT),reduction in body weight,1
"- polydextrose promotes good intestinal health;
-polydextose improves bowel function and gut comfort;",Polydextrose,changes in bowel function,1
"- polydextrose promotes good intestinal health;
-polydextose improves bowel function and gut comfort;",Polydextrose,reduction of gastro-intestinal discomfort,1
"- polydextrose promotes good intestinal health;
-polydextose improves bowel function and gut comfort;",Polydextrose,Changes in short chain fatty acid (SCFA) production and/or pH in the gastro-intestinal tract,1
"- probiotic
-strenghtens the immune system;
-enhances the bodys natural defences.","Lactobacillus gasseri PA 16/8, Bifidobacterium bifidum MF 20/5 and <em>Bifidobacterium longum</em> SP 07/3",Maintenance of the upper respiratory tract defence against pathogens,1
"- probiotic
'-increases your natural defences;
-actively supports your immune system;
-strengthens your immune defences.",Lactobacillus johnsonii NCC 533 (La1) (Pasteur culture collection CNCM I-1225),improving immune defence against pathogenic gastro-intestinal microorganisms,1
- produces folic acid and riboflavin;- supports the maintenance of intestinal homeostasis;- contributes to the rebalancing of intestinal microflora;- promotes the wellbeing of the intestine.,<em>Lactobacillus plantarum</em> LP 01(LMG P-21021)+<em>Lactobacillus plantarum</em>  LP 02(LMG P-21020)+<em>Lactobacillus rhamnosus</em> LR 04(DSM 16605) +<em>Lactobacillus rhamnosus</em> LR 05(DSM 19739) +Bifidobacterium  lactis BS 01(LMG P-21384),"A combination of Bifidobacterium animalis subsp. lactis BS01, Lactobacillus rhamnosus LR04, Lactobacillus rhamnosus LR05, Lactobacillus plantarum LP01, Lactobacillus plantarum LP02 and short-chain fructo-oligosaccharides or galacto-oligosaccharides related to the following claimed effect: 'defence against upper respiratory tract infections'",0
- rebalances the intestinal motility function; -contributes to the  rebalancing of intestinal microflora; - supports the maintenance of intestinal homeostasis; -promotes the wellbeing of the intestine; -restores intestinal flora bacteria in the elderly; -optimizes intestinal transit in the elderly.,Bifidobacterium adolescentis BA 02 (DSM 17103),Bifidobacterium adolescentis BA02 related to the following claimed effect: 'intestinal motility',0
- supports the natural defences of the organism;- strengthens natural defences;- contributes to the maintenance of intestinal wellbeing;- promotes the maintenance of intestinal homeostasis;- restores intestinal bacterial flora.,Bifidobacterium lactis BS 01 (LMG P-21384)+<em>Lactobacillus rhamnosus</em> LR 04 (DSM 16605)+ <em>Lactobacillus plantarum</em>  LP 02(LMG P-21020)+Lactoferrin,"A combination of Bifidobacterium animalis subsp. lactis BS01, Lactobacillus rhamnosus LR04, Lactobacillus plantarum LP02, lactoferrin and short-chain fructo-oligosaccharides related to the following claimed effect: 'defence against upper respiratory tract infections'",0
"- works against the formation of plaque and tartar;
- keep plaque at bay;
- helps counter the plaque formation thereby keeping teeth and gums in normal healthy conditions;
- works against plaque",Sugar-free chewing gum with Xylitol,Reduction of dental plaque,0
"-Alpha-linolenic acid (omega 3) is important for the immune system;
- Alpha-linolenic acid (omega 3) helps to maintain normal healthy blood lipid levels which is important for the immune system / which helps support the body's immune system","Essential fatty acid
Alpha-linolenic acid (LNA  - omega 3)",“Molecule precursors regulating cell functions”,0
"-Antioxidant.
-Protects cells from ageing.
-Important for nitrogen metabolism.",Molybdenum,"Protection of DNA, proteins and lipids from oxidative damage",2
"-Enhances physical performance.
-Provides a performance edge
-Can delay the onset of fatigue
-Can increase exercise intensity/work rate",Caffeine,Increase in physical performance during short-term high-intensity exercise,1
"-Glucosamine alone or in combination with chondroitin sulphate contributes to the maintenance of flexibility and mobility of the joints -helps to maintain healthy joint -supports mobility -helps to keep joints supple and flexible -necessary for the structure of cartilage and other connective tissues -is produced naturally by the body where it plays a role in the smooth working of the joints -is produced naturally by the body where it helps maintain connective tissues -helps maintain healthy joints, bones, ligaments and tendons -occurs naturally in the joints and muscles where it plays a role in the smooth working of connective tissue -helps maintain joint health -helps keep joints in good condition/ --helps maintain cartilage"""", -""""helps rebuilding cartilage"""" and """"lays down the foundation for everyday rebuilding of connective tissues around the joints, including tendons, ligaments and cartilage",Glucosamine,Maintenance of joints,0
-Helps to restore / promote / regulate normal intestinal function - Facilitates the intestinal transit - promotes regularity of the bowel/colonic function -Helps to maintain normal bowel/colonic function - Ensures a healthy digestive system /function,Glucomannan (Konjac),maintenance of normal bowel function,0
"-Linoleic acid (omega 6) is important for the immune system;
- Linoleic acid (omega 6) helps to maintain normal healthy blood lipid levels which is important for the immune system/ which helps support the body's immune system","Essential fatty acid
Linoleic Acid (LA - omega 6)","“molecule precursors regulating cell functions (prostaglandines, leucotrienes)”",0
"-Wheat dextrin has low glycemic and insulinemic indices.
-Eating a diet high in fiber can help control postprandial glucose levels and serum lipid profiles.
-Dietary fiber helps improve glycemic control to improve your ability to maintain normal blood sugar and insulin levels, essential for good health.",Wheat Dextrin,reduction of post-prandial glycaemic responses,0
-acacia gum promotes good intestinal health;-acacia gum improves bowel functions & gut comfort;,Acacia gum (gum arabic),Changes in bowel function,1
-acacia gum promotes good intestinal health;-acacia gum improves bowel functions & gut comfort;,Acacia gum (gum arabic),Reduction of gastro-intestinal discomfort,1
-acacia gum promotes good intestinal health;-acacia gum improves bowel functions & gut comfort;,Acacia gum (gum arabic),Changes in short chain fatty acid (SCFA) production and pH in the gastro-intestinal tract,1
"-fructooligosaccharides/ oligrofructose enhance/ promote/ increase magnesium absorption;
-fructooligosaccharides/ oligrofructose enhance/ promote/ increase calcium absorption;
-fructooligosaccharides/ oligrofructose support isoflavone activity on bone health",Fructoligosaccharides from sucrose,increasing calcium and/or magnesium absorption leading to an increase in magnesium and/or calcium retention,1
"-fruit protects the body’s cells;
-protects you from free radicals;
-protects your cells and tissues from oxidation;
-antioxidants help strengthen our body's natural defences against oxidative stress.","Fruits (fresh, frozen, canned, bottled, dried, juiced)","protection of DNA, proteins and lipids from oxidative damage",2
"-help to maintained a calm and relaxed physical and psychological state pre- menstrual period.
-support in premenstrual syndrome. Support a normal healthy attitude during menstrual cycle.",L-Theanine,reduction of menstrual discomfort,0
-probiotic -balances your healthy intestinal flora; -improves your intestinal transit.,Lactobacillus gasseri CECT5714 and Lactobacillus coryniformis CECT5711,decreasing potentially pathogenic intestinal microorganisms,1
-probiotic -balances your healthy intestinal flora; -improves your intestinal transit.,Lactobacillus gasseri CECT5714 and Lactobacillus coryniformis CECT5711,improvement of intestinal transit,1
"-vegetables help protect the body’s cells;
-protect you from free radicals;
-protect your cells and tissues from oxidation;
-antioxidants help strengthen our body's natural defences against oxidative stress;
-people should consume a wide variety of fruits and vegetables, choosing among colours present in nature, to incorporate the various phytochemical and maximise protection;
-Brassica vegetables (e.g. X) provide particular protection against oxidation.","Vegetables (fresh, frozen, canned, bottled, dried, juiced)","protection of DNA, proteins and lipids from oxidative damage",2
"1- When used within a healthy, balanced diet, in combination with a healty lifestyle, corn oil with an elevated vitamin E content and a guaranteed polyunsaturates fatty acids content contributes to the control of blood cholesterol. 2-When used within a healthy, balanced diet, in combination with a healty lifestyle, corn oil contributes to the control of blood cholesterol. 3-As a part of a healthy lifesyle, corn oil helps to maintain normal blood cholesterol level.4-As a part of a healthy lifesyle, corn oil helps to keep blood cholesterol levels under control.","Corn Oil with a guaranteed polyunsatured fatty acids content (56% of total fatty acids), supplemented with vitamin E.",maintenance of normal blood LDL-cholesterol concentrations,0
"1. Activates metabolism and energy conversion process in the body, promotes effective assimilation of nutrients.
2. Vitamins and micronutrients are highly essential for normal body functioning",Brewer`s Yeast,contribution to normal energy-yielding metabolism,0
"1. Beneficial affects the cardiovascular system 2. Ensures regulation of the blood vessel tonus 3. Promotes lmaintenance of vascular elasticity, heart health and normal blood pressure 4. Helps regulate blood pressure and cholesterol levels",Gamma – linolenic acid,Maintenance of normal blood cholesterol concentrations,0
"1. Beneficial affects the cardiovascular system 2. Ensures regulation of the blood vessel tonus 3. Promotes lmaintenance of vascular elasticity, heart health and normal blood pressure 4. Helps regulate blood pressure and cholesterol levels",Gamma – linolenic acid,Maintenance of normal blood pressure,0
"1. Evening primrose oil in the body transforms into biologically active substances — prostaglandins, which are essential biological regulators and participate in metabolism and hormonal regulation reducing problems associated with hormonal imbalance
2. Helps ensure healthy function of the hormonal system
3. Borage oil is precursor of prostaglandins wich are regulators associated with many of the body's metabolic function
4. Contributes to maintain healthy/normal hormonal system function",Gamma – linolenic acid,Reduction of menstrual discomfort,0
"1. For cardiovascular health.
2. Improves function of the heart",Antler,maintenance of normal cardiac function,1
1. Helps improve digestion 2. Helps maintain normal bowel movement 3. Normalizes bowel movement 4. Promotes intestinal activity 5. Promotes/contributes to bowel regularity,Apple cider vinegar,Bowel motor function,0
"1. Improves metabolism
2. Helps maintain functions and structure of the body and its organ cell membranes
3. Activates absorption of calcium in intestinal tract thereby increasing bone density
4. Promotes body purification and reduction of body mass",Wheat germ oil,maintenance of normal bone,1
"1. Improves skin condition, its elasticity and firmness, promotes natural renewal of skin cells, normalizes skin’s moisture level by moisturizing it in a natural way.",Wheat germ oil,maintenance of normal skin hydration,0
"1. Increases immunity
2. Ensures activity of the immune system, reduction of inflammatory reactions",Wheat germ oil,reduction of inflammation,1
"1. Lutein is a natural antioxidant which protects the skin from the harmful effects of free radicals
2. Lutein helps protect the retina and lens from free radicals which result from UV-radiation
3. Lutein is a natural antioxidant for eyes 
4.Lutein protects the eye from the harmful effects of free radicals
5. Lutein helps protect the macular pigment from the harmful UV-radiation and oxygen-containing free radicals",Lutein,maintenance of normal vision,2
"1. Lutein is a natural antioxidant which protects the skin from the harmful effects of free radicals
2. Lutein helps protect the retina and lens from free radicals which result from UV-radiation
3. Lutein is a natural antioxidant for eyes 
4.Lutein protects the eye from the harmful effects of free radicals
5. Lutein helps protect the macular pigment from the harmful UV-radiation and oxygen-containing free radicals",Lutein,protection of the skin from UV-induced (including photo-oxidative) damage,2
"1. Necessary for normal growth, wholesome mental and physical development
2. Helps maintain functions and structure of the body and organ cell membranes
3. Lecithin is found in every human cell and it participates in various vitally important processes",Lecithin,“Function of the cell membrane”,0
"1. Stimulates the libido
2. Improves erection, contributes to the increase of sperm volume and relaxes muscles",Prunus amygdalus,maintenance of normal erectile function,1
"1. Strengthens the cardiovascular system
2. Promotes lmaintenance of vascular elasticity, heart health and normal blood pressure
3. Ensures regulation of the blood vessel tonus",Wheat germ oil,maintenance of normal blood pressure,0
A diet rich in long chain fatty acids may help normal immune system function.,Long Chain Fatty Acids (EPA/DHA),"contribution to the normal function of the immune system by decreasing the levels of eicosanoids, arachidonic acid-derived mediators and pro-inflammatory cytokines",0
"A generally restorative tea which is rich in vitamins, minerals, antioxidants and essential herbal oils and helps the body overcome stress and exertion, prevents setting in of changes associated with age, improves the immunity",Apium graveolens (Celery),&quot;invigoration of the body&quot;,1
"A strong antioxidant that protects the body’s cells from the harmful effects of free radicals;
Improves the immune system.",Rutin,"protection of DNA, proteins and lipids from oxidative damage",2
"ALA might protect the lipids from oxidative damage, might also helps to keep normal level of blood cholesterol, has positive effects in fat burning.",Alpha Lipoic acid (ALA),Protection of body lipids from oxidative damage,0
"ALA might protect the lipids from oxidative damage, might also helps to keep normal level of blood cholesterol, has positive effects in fat burning.",Alpha-lipoic-acid,Increased beta-oxidation of fatty acids,0
"ALA might protect the lipids from oxidative damage, might also helps to keep normal level of blood cholesterol, has positive effects in fat burning.",Alpha-lipoic-acid,Maintenance of normal blood cholesterol concentrations,0
"ATP is used for energy by muscle cells. Ribose helps regenerate muscle ATP levels, thereby improving exercise performance and recovery”
“Ribose helps maintain cellular energy”
“Ribose enhances recovery after strenuous activity”
“Ribose is an important building block for cellular energy”",Ribose,faster recovery from muscle fatigue after exercise,1
"Accelerates recovery from exercise
helps to recover faster
shortens the time to recover completely
helps to enhance endurance performance
helps to perform longer
supports endurance performance
increases endurance performance
increases time to fatigue during exercise
helps to enhance physical performance
helps to perform better
supports physical performance
helps to increase physical performance
protects muscle during exercise",Casein protein hydrolysate,increase in endurance performance,1
"Accelerates recovery from exercise
helps to recover faster
shortens the time to recover completely
helps to enhance endurance performance
helps to perform longer
supports endurance performance
increases endurance performance
increases time to fatigue during exercise
helps to enhance physical performance
helps to perform better
supports physical performance
helps to increase physical performance
protects muscle during exercise",Casein protein hydrolysate,faster recovery from muscle fatigue after exercise,1
Acerola is a major dietary source of antioxidants Antioxidants from dietary sources contribute to the protection against free radicals which cause cell damage Contributes to the protection of cells and tissues from oxidative damage Help strengthen our bod,Acerola,"Protection of DNA, proteins and lipids from oxidative damage",2
Acerola is a major dietary source of antioxidants/ Antioxidants from dietary sources contribute to the protection against free radicals which cause cell oxidation/ Contributes to the protection of cells and tissues from oxidation/ Help strengthen our body's natural defences against oxidative stress,Acerola,"Protection of DNA, proteins and lipids from oxidative damage",2
Acts as a natural antioxidant. Helps to reduce oxidative stress. Helps to reduce aging effects. Necessary for cells protection. Improves the antioxidant defensive system.,Lemon (Citrus limonium) - flavonoïdes,"Protection of DNA, proteins and lipids from oxidative damage",2
"Against skin ageing.
Protects cells from ageing",L-carnosine,“skin”,2
"Aide à combattre les excès de poids
Aide dans le cadre d'un régime amincissant
Soutient lors d'amincissement
Clarification provided
Contributes to management of weight control/can help in the reduction of body weight/can help to the control of weight by reducing the quantity of fat absorbed from the diet.",Chitosane,reduction in body weight,2
"Aids slimming by reducing body fat and preserving lean muscle
Helps to reduce muscle protein loss during a diet
Increases lean tissue mass
Increases feelings of fullness and satiety
Helps to reduce yoyo-effect after a diet
Improves the burning of fat",Conjugated linoleic acid (CLA),contribution to the maintenance or achievement of a normal body weight,1
An adequate magnesium intake can support to maintain normal blood pressure,Magnesium,Maintenance of normal blood pressure,0
"An optimal intake of zeaxanthin contributes to eye health
supports normal vision
absorbs blue light and scavenges reactive oxygen species in the eye (lens, retina) and, therefore, helps to maintain a healthy retina
stabilizes membranes and, therefore, contributes to make retinal membranes more resistant against damage by light
(together with Lutein) is actively accumulated in the healthy macula.
The highest concentration of carotenoids found in the human body. A sufficient supply therefore contributes to maintaining the integrity and health of this part of the retina which is most essential for optimal visual performance.
Das Carotinoid Zeaxanthin kommt in hoher Konzentration im menschlichen Auge vor. Dort schützt es dieses vor oxidativen Schädigungen durch Radikale.
Zeaxanthin ist ein Beitrag zum Schutz der Augengesundheit.
Zeaxanthin ist ein Radikalfänger.
wird (zusammen mit Lutein) aktiv in der gesunden Makula angereichert, die die höchste Konzentration an Carotinoiden im menschlichen Körper aufweist. Eine ausreichende Versorgung hilft, diesen Teil der Retina, der für ein optimales Sehvermögen sehr wichtig
Zeaxanthin ist ein wichtiges antioxidativ zellschützender vitaminähnlicher Lebensmittelinhaltsstoff für den Menschen mit besonderer Bedeutung für den Lichtschutz.
Als vergleichsweise schwaches Antioxidans kann Zeaxanthin durch die stärkeren antioxidativen Nährstoffe bzw. körpereigenen Antioxidantien – z. B. die Thiole Glutathion, Cystein und Liponsäure - teilweise gegen Oxidation geschützt werden.
Umgekehrt gibt es Hinweise, dass eine hohe Zufuhr von Carotinoiden wie Zeaxanthin auch einen positiven Einfluss auf den Status bei den anderen körpereigenen Antioxidantien hat.
Hohe Mengen an Zeaxanthin sollten aus theoretischen Erwägungen wegen der erforderlichen Regeneration durch die körpereigenen antioxidativen Schutzsysteme zusammen mit anderen antioxidativen Nährstoffen supplementiert werden. Das gilt insbesondere für Personen mit erfahrungsgemäß schlechtem antioxidativem Status (z. B. Raucher, Diabetiker).
Zeaxanthin ist ein effizienter Fänger von freien Radikalen.
Nach der antioxidativen Rangordnung der Carotinoide wird Zeaxanthin im Auge erst nach Vitamin E, ß-Carorin, Lycopin und Lutein verbraucht.–Zeaxanthin ist für das Auge wahrscheinlich die letzte Sicherung gegen oxidative Schäden.
Die natürlich besonders hohe Konzentration von Zeaxanthin in der Netzhautmitte (dem Ort des schärfsten Sehens) spricht für eine besonders wichtige Schutzfunktion beim Schutz der Sehfähigkeit.
(zusammen mit Lutein) hilft es, das Sehvermögen bei trüben Lichtverhältnissen zu verbessern
(together with Lutein) helps to improve visual performance at dim lighting conditions
absorbiert blaues Licht und fängt reaktive Sauerstoffmoleküle im Auge (Linse, Netzhaut) ab und trägt so zum Erhalt einer gesunden Netzhaut bei",Zeaxanthin,maintenance of normal vision,0
Antioxidants can protect from free radicals and helps in case of foods intake deficiency or increased amount of nutrients. Increases the physiological resistance of the organism in case of severe ambiance conditions,PROPOLIS,"Protection of DNA, proteins and lipids from oxidative damage",1
"Antioxidants can protect from free radicals and helps in case of foods intake deficiency or increased amount of nutrients. Useful to protect the skin from UV-induced oxidative damage. Helps protect against the free radicals action due to UV exposure or severe ambiance conditions Antioxidants reducing the production of oxidative cholesterol. Protection against the free radicals action due to stress, alcoholics,UV exposure or polluted ambiance conditions.",AMORPHOPHALLUS KONJAC KOCH,"Protection of DNA, proteins and lipids from oxidative damage",1
"Arginine can contribute to the maintenance of the healthy blood circulation.
Clarification provided
Arginine can contribute to the maintenance of the healthy blood circulation.
Arginine can contribute to the maintance of the normal blood circulation, such as the healthy blood pressure and the haematopoiesis.",L-Arginine,Improvement of endothelium-dependent vasodilation,0
